Project,Year,Date,Site,Treatment,PlotID,Individual_nr,ID,Taxon,Trait,Value,Elevation_m,Latitude_N,Longitude_E
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,Leaf_Thickness_mm,0.6456666666666666,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,Leaf_Area_cm2,0.32316666666666666,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,SLA_cm2_g,58.75757575757575,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,LDMC,0.4247104247104247,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,C_percent,47.3,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,N_percent,1.7,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,CN_ratio,27.823529411764707,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,dN15_permil,-7.34744119644165,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,dC13_permil,-31.0894128417969,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,P_percent,0.040671704339353604,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,dryas octopetala,NP_ratio,41.798100856941325,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,Plant_Height_cm,2,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,Wet_Mass_g,0.010516666666666667,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,Dry_Mass_g,0.004166666666666667,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,Leaf_Thickness_mm,0.40800000000000003,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,Leaf_Area_cm2,0.24683333333333335,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,SLA_cm2_g,59.24,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,LDMC,0.3961965134706814,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,C_percent,48.67,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,N_percent,1.3,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,CN_ratio,37.43846153846154,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,dN15_permil,-8.03537559509277,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,dC13_permil,-31.5334970092773,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,P_percent,0.03595471344809913,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,dryas octopetala,NP_ratio,36.15659465278617,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,salix polaris,Plant_Height_cm,2,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,salix polaris,Leaf_Thickness_mm,0.20666666666666667,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,salix polaris,C_percent,48.29342263206853,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,salix polaris,N_percent,2.1331924887798395,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,salix polaris,CN_ratio,22.63903650799548,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,salix polaris,dN15_permil,-2.49622020721436,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,salix polaris,dC13_permil,-28.6388639831543,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,salix polaris,P_percent,0.34931847925170434,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,salix polaris,NP_ratio,6.106726713540826,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,Plant_Height_cm,2,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,Wet_Mass_g,0.018125,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,Dry_Mass_g,0.006,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,Leaf_Thickness_mm,0.247,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,Leaf_Area_cm2,0.68675,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,SLA_cm2_g,114.45833333333333,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,LDMC,0.33103448275862074,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,C_percent,46.62338857350636,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,N_percent,1.6010985972772007,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,CN_ratio,29.119623646409565,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,dN15_permil,-3.82309970855713,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,dC13_permil,-28.089509429931603,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,P_percent,0.4171276875825145,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,salix polaris,NP_ratio,3.838389646480798,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,Plant_Height_cm,1,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,Wet_Mass_g,0.01076,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,Dry_Mass_g,0.0028,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,Leaf_Thickness_mm,0.39599999999999996,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,Leaf_Area_cm2,0.44580000000000003,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,SLA_cm2_g,159.21428571428572,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,LDMC,0.26022304832713755,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,C_percent,46.787281851650725,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,N_percent,1.9058261321438992,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,CN_ratio,24.549606631229704,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,dN15_permil,-6.325104331970221,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,dC13_permil,-27.8577532196045,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,P_percent,0.2729243549359048,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,salix polaris,NP_ratio,6.982983004911654,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,pedicularis hirsuta,Plant_Height_cm,4,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,pedicularis hirsuta,Wet_Mass_g,0.013200000000000002,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,pedicularis hirsuta,Dry_Mass_g,0.0026666666666666666,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,pedicularis hirsuta,Leaf_Thickness_mm,0.20433333333333334,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,pedicularis hirsuta,Leaf_Area_cm2,0.48300000000000004,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,pedicularis hirsuta,SLA_cm2_g,181.12500000000003,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,pedicularis hirsuta,LDMC,0.202020202020202,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,pedicularis hirsuta,C_percent,34.28567110736937,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,pedicularis hirsuta,N_percent,1.5123492216740135,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,pedicularis hirsuta,CN_ratio,22.670472279820853,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,pedicularis hirsuta,dN15_permil,-4.156884479522711,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,pedicularis hirsuta,dC13_permil,-30.9406660461426,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,Plant_Height_cm,1,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,Wet_Mass_g,0.009479999999999999,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,Dry_Mass_g,0.0032,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,Leaf_Thickness_mm,0.23766666666666666,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,Leaf_Area_cm2,0.3841,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,SLA_cm2_g,120.03125,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,LDMC,0.3375527426160338,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,C_percent,46.93070782685834,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,N_percent,1.9765981249877318,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,CN_ratio,23.74317127673569,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,dN15_permil,-3.22216548919678,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,dC13_permil,-30.2578787994385,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,P_percent,0.31893204788240476,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,salix polaris,NP_ratio,6.197552544849724,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,carex rupestris,Plant_Height_cm,4,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,carex rupestris,Wet_Mass_g,0.0116,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,carex rupestris,Dry_Mass_g,0.0036666666666666666,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,carex rupestris,Leaf_Thickness_mm,0.162,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,carex rupestris,Leaf_Area_cm2,0.7246666666666667,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,carex rupestris,SLA_cm2_g,197.63636363636365,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,carex rupestris,LDMC,0.3160919540229885,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,dryas octopetala,Wet_Mass_g,0.008875,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,dryas octopetala,Dry_Mass_g,0.003625,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,dryas octopetala,Leaf_Thickness_mm,0.19133333333333333,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,dryas octopetala,Leaf_Area_cm2,0.32825,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,dryas octopetala,SLA_cm2_g,90.55172413793103,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,dryas octopetala,LDMC,0.4084507042253522,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,dryas octopetala,C_percent,48.01,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,dryas octopetala,N_percent,1.44,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,dryas octopetala,CN_ratio,33.34027777777778,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,dryas octopetala,dN15_permil,-6.44490146636963,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,dryas octopetala,dC13_permil,-30.3972608184814,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,dryas octopetala,P_percent,0.055447624928719096,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,dryas octopetala,NP_ratio,25.970454133088612,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,carex rupestris,Plant_Height_cm,2,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,carex rupestris,Wet_Mass_g,0.0046,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,carex rupestris,Dry_Mass_g,0.0014,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,carex rupestris,Leaf_Thickness_mm,0.16666666666666666,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,carex rupestris,Leaf_Area_cm2,0.3096,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,carex rupestris,SLA_cm2_g,221.14285714285714,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,carex rupestris,LDMC,0.30434782608695654,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,salix polaris,Plant_Height_cm,0.7,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,salix polaris,Wet_Mass_g,0.0124125,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,salix polaris,Dry_Mass_g,0.004875,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,salix polaris,Leaf_Thickness_mm,0.24133333333333332,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,salix polaris,Leaf_Area_cm2,0.484375,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,salix polaris,SLA_cm2_g,99.35897435897436,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,salix polaris,LDMC,0.39274924471299094,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,salix polaris,P_percent,0.20991381606089038,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,carex rupestris,Plant_Height_cm,3,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,carex rupestris,Leaf_Thickness_mm,0.18033333333333332,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,carex rupestris,LDMC,0.3829787234042553,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,carex rupestris,C_percent,36.11234705141634,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,carex rupestris,N_percent,2.70548720126193,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,carex rupestris,CN_ratio,13.347816627841496,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,carex rupestris,dN15_permil,-2.9736456489563,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,carex rupestris,dC13_permil,-31.748199005127,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,carex rupestris,P_percent,0.12364552363990641,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,carex rupestris,NP_ratio,21.88099594402735,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,Plant_Height_cm,3,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,Wet_Mass_g,0.020042857142857144,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,Dry_Mass_g,0.008285714285714287,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,Leaf_Thickness_mm,0.22466666666666665,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,Leaf_Area_cm2,0.658,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,SLA_cm2_g,79.41379310344827,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,LDMC,0.4133998574483251,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,C_percent,51.49840870124715,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,N_percent,1.1241652933346709,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,CN_ratio,45.81035280717901,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,dN15_permil,-8.10841217041016,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,dC13_permil,-30.9069934082031,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,P_percent,0.10061989998281318,80,78.183,15.75
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,dryas octopetala,NP_ratio,11.172395257068322,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,Plant_Height_cm,1,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,Wet_Mass_g,0.0515,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,Dry_Mass_g,0.025,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,Leaf_Thickness_mm,0.2793333333333333,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,Leaf_Area_cm2,1.738,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,SLA_cm2_g,69.52,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,LDMC,0.48543689320388356,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,C_percent,33.015054881179346,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,N_percent,2.2566003783923505,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,CN_ratio,14.630439309196591,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,dN15_permil,3.4674343585968,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,dC13_permil,-26.5632513427734,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,P_percent,0.10667038852947579,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,equisetum scirpoides,NP_ratio,21.15489040118002,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJL5589,bistorta vivipara,Plant_Height_cm,2,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJL5589,bistorta vivipara,Wet_Mass_g,0.011,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJL5589,bistorta vivipara,Dry_Mass_g,0.0085,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJL5589,bistorta vivipara,Leaf_Thickness_mm,0.129,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJL5589,bistorta vivipara,Leaf_Area_cm2,0.47400000000000003,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJL5589,bistorta vivipara,SLA_cm2_g,55.76470588235294,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJL5589,bistorta vivipara,LDMC,0.7727272727272728,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJL5589,bistorta vivipara,C_percent,40.33247623026635,80,78.183,15.75
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJL5589,bistorta vivipara,N_percent,2.762865093395393,80,78.183,15.75
