pop	light	fertil	treat	ident	meas	leaf	bract
51	h	h	1	32	1	94.50	22.35
51	h	h	1	32	2	103.14	20.82
51	h	h	1	33	1	104.60	21.24
51	h	h	1	33	2	93.90	20.24
51	h	h	1	34	1	98.78	17.81
51	h	h	1	34	2	95.72	20.08
51	h	l	2	35	1	70.66	22.32
51	h	l	2	35	2	61.15	22.70
51	h	l	2	36	1	49.21	19.66
51	h	l	2	36	2	70.43	17.50
51	h	l	2	37	1	46.39	23.99
51	h	l	2	37	2	60.95	18.94
51	h	l	2	38	1	57.59	20.23
51	h	l	2	38	2	51.65	18.34
51	h	l	2	39	1	69.86	17.84
51	h	l	2	39	2	57.16	18.80
51	h	l	2	40	1	61.65	22.71
51	h	l	2	40	2	61.88	20.21
51	h	l	2	41	1	73.33	17.82
51	h	l	2	41	2	58.37	15.17
51	h	l	2	42	1	44.74	19.16
51	h	l	2	42	2	70.85	16.17
51	h	l	2	43	1	60.30	21.94
51	h	l	2	43	2	83.89	17.41
51	h	l	2	44	1	61.80	15.98
51	h	l	2	44	2	84.24	22.89
51	h	l	2	45	1	61.77	21.28
51	h	l	2	45	2	70.06	18.16
51	h	l	2	46	1	54.70	19.69
51	h	l	2	46	2	62.60	22.65
51	h	l	2	47	1	61.48	21.49
51	h	l	2	47	2	66.50	22.88
51	h	l	2	48	1	73.96	19.12
51	h	l	2	48	2	49.25	23.25
51	h	l	2	49	1	50.21	20.05
51	h	l	2	49	2	50.01	18.80
51	h	l	2	50	1	78.84	25.13
51	h	l	2	50	2	60.16	23.02
51	h	l	2	51	1	86.93	20.47
51	h	l	2	51	2	56.10	20.52
51	h	l	2	52	1	83.19	20.19
51	h	l	2	52	2	54.88	17.59
51	h	l	2	53	1	59.35	22.06
51	h	l	2	53	2	62.36	19.54
51	h	l	2	54	1	64.99	20.65
51	h	l	2	54	2	63.85	17.63
51	h	l	2	55	1	50.09	18.40
51	h	l	2	55	2	45.50	20.25
51	h	l	2	56	1	72.62	22.36
51	h	l	2	56	2	69.98	20.86
51	h	l	2	57	1	60.12	19.33
51	h	l	2	57	2	45.29	20.65
51	h	l	2	58	1	50.62	18.96
51	h	l	2	58	2	50.56	20.68
51	h	l	2	59	1	68.93	25.04
51	h	l	2	59	2	79.25	21.36
51	h	l	2	60	1	71.90	20.71
51	h	l	2	60	2	58.49	21.17
51	h	l	2	61	1	81.42	20.24
51	h	l	2	61	2	57.18	17.93
51	h	l	2	62	1	67.81	18.87
51	h	l	2	62	2	54.85	18.90
51	h	l	2	63	1	77.02	20.46
51	h	l	2	63	2	88.67	22.84
51	h	l	2	64	1	71.49	21.03
51	h	l	2	64	2	65.99	20.52
51	h	l	2	65	1	58.64	19.77
51	h	l	2	65	2	56.79	23.60
51	h	l	2	66	1	56.59	16.22
51	h	l	2	66	2	67.71	16.76
51	h	l	2	67	1	73.16	19.67
51	h	l	2	67	2	68.75	21.43
51	h	l	2	68	1	59.38	19.66
51	h	l	2	68	2	68.56	19.47
51	l	h	3	69	1	97.74	20.27
51	l	h	3	69	2	105.29	20.47
51	l	h	3	70	1	114.29	16.23
51	l	h	3	70	2	93.33	18.62
51	l	h	3	71	1	103.08	21.11
51	l	h	3	71	2	70.66	23.27
51	l	h	3	72	1	108.59	19.67
51	l	h	3	72	2	102.97	17.05
51	l	h	3	73	1	85.12	22.60
51	l	h	3	73	2	106.17	18.55
51	l	h	3	74	1	101.23	23.99
51	l	h	3	74	2	97.93	16.64
51	l	h	3	75	1	100.80	20.04
51	l	h	3	75	2	98.55	17.75
51	l	h	3	76	1	98.02	24.56
51	l	h	3	76	2	83.10	22.76
51	l	h	3	77	1	84.76	21.90
51	l	h	3	77	2	106.99	19.51
51	l	h	3	78	1	88.26	24.24
51	l	h	3	78	2	111.31	24.97
51	l	h	3	79	1	100.19	20.72
51	l	h	3	79	2	87.32	19.70
51	l	h	3	80	1	78.58	24.98
51	l	h	3	80	2	122.12	24.04
51	l	h	3	81	1	113.89	22.03
51	l	h	3	81	2	88.17	21.06
51	l	h	3	82	1	104.60	19.64
51	l	h	3	82	2	107.43	18.98
51	l	h	3	83	1	86.81	NA
51	l	h	3	83	2	91.29	NA
51	l	h	3	84	1	91.52	20.73
51	l	h	3	84	2	80.25	21.42
51	l	h	3	85	1	81.76	20.53
51	l	h	3	85	2	83.39	21.04
51	l	h	3	86	1	83.34	20.40
51	l	h	3	86	2	128.62	22.84
51	l	h	3	87	1	77.99	22.58
51	l	h	3	87	2	85.87	22.30
51	l	h	3	88	1	103.98	19.78
51	l	h	3	88	2	104.43	16.91
51	l	h	3	89	1	83.88	23.68
51	l	h	3	89	2	81.61	19.98
51	l	h	3	90	1	81.92	16.97
51	l	h	3	90	2	71.77	23.73
51	l	h	3	91	1	112.03	18.19
51	l	h	3	91	2	114.98	21.85
51	l	h	3	92	1	96.47	22.66
51	l	h	3	92	2	84.67	20.21
51	l	h	3	93	1	100.08	19.55
51	l	h	3	93	2	71.33	18.73
51	l	h	3	94	1	94.51	21.35
51	l	h	3	94	2	91.56	18.17
51	l	h	3	95	1	89.16	17.41
51	l	h	3	95	2	98.35	18.73
51	l	h	3	96	1	109.92	18.59
51	l	h	3	96	2	87.23	17.38
51	l	h	3	97	1	88.20	21.92
51	l	h	3	97	2	101.33	18.15
51	l	h	3	98	1	101.94	18.55
51	l	h	3	98	2	95.57	18.82
51	l	h	3	99	1	122.46	18.62
51	l	h	3	99	2	95.74	23.55
51	l	h	3	100	1	107.28	24.26
51	l	h	3	100	2	109.81	22.81
51	l	h	3	101	1	NA	20.86
51	l	h	3	101	2	NA	NA
51	l	h	3	102	1	95.91	NA
51	l	h	3	102	2	90.63	NA
51	l	l	4	103	1	53.33	19.79
51	l	l	4	103	2	56.98	18.14
51	l	l	4	104	1	58.12	19.77
51	l	l	4	104	2	70.77	19.51
51	l	l	4	105	1	75.73	21.39
51	l	l	4	105	2	57.90	21.42
51	l	l	4	106	1	67.14	17.34
51	l	l	4	106	2	48.56	18.50
51	l	l	4	107	1	74.08	21.94
51	l	l	4	107	2	79.19	19.79
51	l	l	4	108	1	49.85	18.00
51	l	l	4	108	2	69.33	19.80
51	l	l	4	109	1	105.86	20.14
51	l	l	4	109	2	67.57	18.35
51	l	l	4	110	1	68.52	19.46
51	l	l	4	110	2	72.10	20.03
51	l	l	4	111	1	89.43	21.45
51	l	l	4	111	2	75.63	20.41
51	l	l	4	112	1	64.05	21.65
51	l	l	4	112	2	54.04	23.19
51	l	l	4	113	1	57.33	23.37
51	l	l	4	113	2	69.86	21.95
51	l	l	4	114	1	56.04	20.83
51	l	l	4	114	2	75.75	19.71
51	l	l	4	115	1	92.10	18.68
51	l	l	4	115	2	93.14	22.11
51	l	l	4	116	1	92.48	21.18
51	l	l	4	116	2	95.06	22.92
51	l	l	4	117	1	67.73	21.74
51	l	l	4	117	2	64.72	17.76
51	l	l	4	118	1	51.69	17.98
51	l	l	4	118	2	69.20	21.10
51	l	l	4	119	1	76.02	20.79
51	l	l	4	119	2	79.61	16.68
51	l	l	4	120	1	61.25	20.08
51	l	l	4	120	2	69.78	21.32
51	l	l	4	121	1	60.80	19.36
51	l	l	4	121	2	56.97	18.87
51	l	l	4	122	1	70.60	22.10
51	l	l	4	122	2	92.99	21.90
51	l	l	4	123	1	76.21	25.01
51	l	l	4	123	2	65.28	23.12
51	l	l	4	124	1	73.09	17.98
51	l	l	4	124	2	62.64	21.24
51	l	l	4	125	1	63.74	21.76
51	l	l	4	125	2	66.38	18.97
51	l	l	4	126	1	96.08	21.57
51	l	l	4	126	2	71.53	20.59
51	l	l	4	127	1	64.94	21.95
51	l	l	4	127	2	78.12	23.95
51	l	l	4	128	1	65.06	18.20
51	l	l	4	128	2	69.53	19.70
51	l	l	4	129	1	82.72	22.50
51	l	l	4	129	2	59.58	20.65
51	l	l	4	130	1	68.26	17.51
51	l	l	4	130	2	51.10	17.98
51	l	l	4	131	1	65.14	19.70
51	l	l	4	131	2	88.60	20.25
51	l	l	4	132	1	75.59	22.94
51	l	l	4	132	2	59.66	20.12
51	l	l	4	133	1	67.30	18.22
51	l	l	4	133	2	53.65	21.35
51	l	l	4	134	1	58.58	20.62
51	l	l	4	134	2	69.76	19.02
51	l	l	4	135	1	57.13	18.66
51	l	l	4	135	2	64.14	19.97
70	h	h	1	136	1	69.04	20.02
70	h	h	1	136	2	72.68	17.06
70	h	h	1	137	1	88.26	16.76
70	h	h	1	137	2	99.45	18.57
70	h	h	1	138	1	80.10	20.76
70	h	h	1	138	2	73.97	21.11
70	h	h	1	139	1	89.34	18.70
70	h	h	1	139	2	110.04	17.65
70	h	h	1	140	1	113.42	16.79
70	h	h	1	140	2	68.96	19.00
70	h	h	1	141	1	86.02	16.80
70	h	h	1	141	2	101.67	20.01
70	h	h	1	142	1	74.57	19.67
70	h	h	1	142	2	84.92	NA
70	h	h	1	143	1	100.30	17.32
70	h	h	1	143	2	101.25	17.48
70	h	h	1	144	1	113.10	16.86
70	h	h	1	144	2	71.09	19.69
70	h	h	1	145	1	81.22	20.79
70	h	h	1	145	2	79.84	18.25
70	h	h	1	146	1	84.43	19.55
70	h	h	1	146	2	66.59	18.77
70	h	h	1	147	1	80.34	21.27
70	h	h	1	147	2	76.17	20.58
70	h	h	1	148	1	87.23	17.47
70	h	h	1	148	2	74.60	15.18
70	h	h	1	149	1	79.82	17.61
70	h	h	1	149	2	70.33	18.77
70	h	h	1	150	1	83.48	19.50
70	h	h	1	150	2	84.55	NA
70	h	h	1	151	1	98.81	19.00
70	h	h	1	151	2	91.10	21.02
70	h	h	1	152	1	68.68	18.90
70	h	h	1	152	2	92.01	14.42
70	h	h	1	153	1	78.53	NA
70	h	h	1	153	2	78.77	NA
70	h	h	1	154	1	62.36	19.43
70	h	h	1	154	2	81.16	21.84
70	h	h	1	155	1	82.19	23.68
70	h	h	1	155	2	85.48	23.44
70	h	h	1	156	1	92.17	21.97
70	h	h	1	156	2	70.39	20.12
70	h	h	1	157	1	87.37	18.27
70	h	h	1	157	2	118.12	16.02
70	h	h	1	158	1	69.70	17.99
70	h	h	1	158	2	83.81	17.44
70	h	h	1	159	1	93.35	19.92
70	h	h	1	159	2	77.82	20.62
70	h	h	1	160	1	97.52	16.84
70	h	h	1	160	2	65.88	17.71
70	h	h	1	161	1	76.09	18.52
70	h	h	1	161	2	79.66	22.29
70	h	h	1	162	1	105.10	19.31
70	h	h	1	162	2	89.00	26.66
70	h	h	1	163	1	77.20	20.30
70	h	h	1	163	2	95.35	21.95
70	h	h	1	164	1	104.84	16.40
70	h	h	1	164	2	64.57	17.08
70	h	h	1	165	1	81.92	18.90
70	h	h	1	165	2	92.62	16.21
70	h	h	1	166	1	80.11	17.23
70	h	h	1	166	2	65.47	17.46
70	h	h	1	167	1	83.05	20.93
70	h	h	1	167	2	93.11	22.80
70	h	h	1	168	1	96.18	18.05
70	h	h	1	168	2	86.10	15.42
70	h	h	1	169	1	62.54	15.66
70	h	h	1	169	2	82.82	19.44
70	h	l	2	170	1	NA	16.85
70	h	l	2	170	2	NA	16.84
70	h	l	2	171	1	65.12	17.84
70	h	l	2	171	2	59.24	23.15
70	h	l	2	172	1	70.74	19.34
70	h	l	2	172	2	63.19	16.23
70	h	l	2	173	1	64.10	19.69
70	h	l	2	173	2	37.79	19.19
70	h	l	2	174	1	76.42	19.41
70	h	l	2	174	2	56.32	NA
70	h	l	2	175	1	63.68	17.96
70	h	l	2	175	2	51.92	22.02
70	h	l	2	176	1	40.30	22.87
70	h	l	2	176	2	41.61	21.19
70	h	l	2	177	1	61.72	17.50
70	h	l	2	177	2	69.89	NA
70	h	l	2	178	1	56.79	20.66
70	h	l	2	178	2	87.29	18.44
70	h	l	2	179	1	60.23	18.88
70	h	l	2	179	2	52.19	19.86
70	h	l	2	180	1	76.54	NA
70	h	l	2	180	2	80.00	NA
70	h	l	2	181	1	49.96	17.64
70	h	l	2	181	2	44.30	22.22
70	h	l	2	182	1	79.31	20.84
70	h	l	2	182	2	61.73	21.62
70	h	l	2	183	1	57.23	23.12
70	h	l	2	183	2	NA	22.51
70	h	l	2	184	1	59.84	21.55
70	h	l	2	184	2	58.84	19.63
70	h	l	2	185	1	70.18	21.35
70	h	l	2	185	2	51.54	19.88
70	h	l	2	186	1	76.02	16.05
70	h	l	2	186	2	62.43	20.77
70	h	l	2	187	1	47.65	22.35
70	h	l	2	187	2	46.46	26.16
70	h	l	2	188	1	55.30	23.00
70	h	l	2	188	2	69.74	21.90
70	h	l	2	189	1	67.98	22.18
70	h	l	2	189	2	62.34	21.99
70	h	l	2	190	1	60.16	21.64
70	h	l	2	190	2	45.20	19.29
70	h	l	2	191	1	58.79	23.24
70	h	l	2	191	2	58.88	24.01
70	h	l	2	192	1	45.12	16.91
70	h	l	2	192	2	59.68	19.36
70	h	l	2	193	1	68.33	23.02
70	h	l	2	193	2	51.84	NA
70	h	l	2	194	1	62.01	17.64
70	h	l	2	194	2	63.30	20.17
70	h	l	2	195	1	56.13	23.06
70	h	l	2	195	2	46.73	21.99
70	h	l	2	196	1	57.75	21.65
70	h	l	2	196	2	50.35	22.43
70	h	l	2	197	1	58.26	22.79
70	h	l	2	197	2	49.91	22.43
70	h	l	2	198	1	82.46	19.81
70	h	l	2	198	2	71.44	NA
70	h	l	2	199	1	83.96	19.35
70	h	l	2	199	2	64.02	20.00
70	h	l	2	200	1	33.86	20.57
70	h	l	2	200	2	34.94	18.11
70	h	l	2	201	1	52.38	14.85
70	h	l	2	201	2	43.24	19.21
70	h	l	2	202	1	55.55	16.16
70	h	l	2	202	2	53.29	20.76
70	h	l	2	203	1	70.17	19.70
70	h	l	2	203	2	68.52	NA
70	l	h	3	204	1	108.59	NA
70	l	h	3	204	2	74.79	NA
70	l	h	3	205	1	NA	18.88
70	l	h	3	205	2	NA	NA
70	l	h	3	206	1	89.69	21.30
70	l	h	3	206	2	78.57	19.81
70	l	h	3	207	1	75.79	19.68
70	l	h	3	207	2	113.42	19.31
70	l	h	3	208	1	69.46	19.06
70	l	h	3	208	2	54.50	16.23
70	l	h	3	209	1	84.45	17.15
70	l	h	3	209	2	69.64	15.81
70	l	h	3	210	1	59.66	18.45
70	l	h	3	210	2	108.49	17.83
70	l	h	3	211	1	64.57	16.80
70	l	h	3	211	2	84.76	17.62
70	l	h	3	212	1	66.15	15.74
70	l	h	3	212	2	66.55	15.34
70	l	h	3	213	1	103.15	18.22
70	l	h	3	213	2	73.21	19.63
70	l	h	3	214	1	85.42	20.31
70	l	h	3	214	2	86.98	20.81
70	l	h	3	215	1	98.25	27.28
70	l	h	3	215	2	85.26	NA
70	l	h	3	216	1	75.47	19.32
70	l	h	3	216	2	51.42	16.63
70	l	h	3	217	1	85.23	NA
70	l	h	3	217	2	78.53	NA
70	l	h	3	218	1	NA	18.00
70	l	h	3	218	2	NA	NA
70	l	h	3	219	1	74.28	19.18
70	l	h	3	219	2	70.85	NA
70	l	h	3	220	1	85.02	15.43
70	l	h	3	220	2	58.46	16.63
70	l	h	3	221	1	NA	15.24
70	l	h	3	221	2	NA	NA
70	l	h	3	222	1	115.03	17.92
70	l	h	3	222	2	87.13	17.23
70	l	h	3	223	1	106.57	16.05
70	l	h	3	223	2	78.78	17.52
70	l	h	3	224	1	80.35	18.04
70	l	h	3	224	2	91.08	16.22
70	l	h	3	225	1	88.68	19.88
70	l	h	3	225	2	105.71	18.95
70	l	h	3	226	1	76.10	16.51
70	l	h	3	226	2	73.12	18.28
70	l	h	3	227	1	69.63	16.43
70	l	h	3	227	2	93.19	16.63
70	l	h	3	228	1	85.99	NA
70	l	h	3	228	2	85.70	NA
70	l	h	3	229	1	105.90	13.70
70	l	h	3	229	2	69.41	21.41
70	l	h	3	230	1	71.12	21.48
70	l	h	3	230	2	62.91	19.90
70	l	h	3	231	1	65.01	19.07
70	l	h	3	231	2	90.23	17.71
70	l	h	3	232	1	87.89	23.54
70	l	h	3	232	2	91.59	NA
70	l	l	4	233	1	75.17	22.13
70	l	l	4	233	2	82.44	20.95
70	l	l	4	234	1	71.12	19.27
70	l	l	4	234	2	46.10	NA
70	l	l	4	235	1	67.95	21.28
70	l	l	4	235	2	58.39	NA
70	l	l	4	236	1	49.55	NA
70	l	l	4	236	2	48.18	NA
70	l	l	4	237	1	59.63	20.12
70	l	l	4	237	2	58.15	20.40
70	l	l	4	238	1	59.73	20.32
70	l	l	4	238	2	65.93	21.00
70	l	l	4	239	1	63.63	18.14
70	l	l	4	239	2	NA	18.56
70	l	l	4	240	1	64.39	19.85
70	l	l	4	240	2	72.48	NA
70	l	l	4	241	1	80.14	19.43
70	l	l	4	241	2	85.03	19.47
70	l	l	4	242	1	NA	23.59
70	l	l	4	242	2	NA	NA
70	l	l	4	243	1	55.79	20.24
70	l	l	4	243	2	54.43	23.43
70	l	l	4	244	1	50.90	19.33
70	l	l	4	244	2	43.66	20.13
70	l	l	4	245	1	46.28	17.11
70	l	l	4	245	2	47.47	17.19
70	l	l	4	246	1	71.32	21.31
70	l	l	4	246	2	68.84	NA
70	l	l	4	247	1	60.53	19.82
70	l	l	4	247	2	36.95	21.25
70	l	l	4	248	1	52.14	21.25
70	l	l	4	248	2	58.77	19.58
70	l	l	4	249	1	73.22	21.96
70	l	l	4	249	2	52.52	NA
70	l	l	4	250	1	53.66	25.59
70	l	l	4	250	2	59.08	22.32
70	l	l	4	251	1	56.59	15.91
70	l	l	4	251	2	64.26	16.04
70	l	l	4	252	1	54.79	21.64
70	l	l	4	252	2	53.77	NA
70	l	l	4	253	1	47.51	23.08
70	l	l	4	253	2	60.37	25.44
70	l	l	4	254	1	50.29	23.43
70	l	l	4	254	2	38.71	NA
70	l	l	4	255	1	75.50	18.81
70	l	l	4	255	2	55.52	21.26
70	l	l	4	256	1	57.02	18.12
70	l	l	4	256	2	64.50	19.07
70	l	l	4	257	1	65.73	20.70
70	l	l	4	257	2	44.03	22.96
70	l	l	4	258	1	56.70	23.74
70	l	l	4	258	2	59.82	26.02
70	l	l	4	259	1	58.10	21.24
70	l	l	4	259	2	54.09	22.12
70	l	l	4	260	1	54.42	17.58
70	l	l	4	260	2	60.06	19.61
70	l	l	4	261	1	39.87	20.70
70	l	l	4	261	2	46.16	20.02
70	l	l	4	262	1	64.23	17.47
70	l	l	4	262	2	45.19	NA
70	l	l	4	263	1	40.92	18.47
70	l	l	4	263	2	76.18	19.24
70	l	l	4	264	1	51.02	21.29
70	l	l	4	264	2	44.34	NA
70	l	l	4	265	1	62.32	22.09
70	l	l	4	265	2	49.00	22.45
70	l	l	4	266	1	51.31	16.11
70	l	l	4	266	2	49.55	16.52
